"SpeciesID","IDlevel","L","S","Loudness_levels","Sightability_levels"
"Indian Swiftlet","S",4,1.42857142857143,"(2.33,4]","[1,1.5]"
"Indian Yellow Tit","S",2.11111111111111,1.55555555555556,"(1.43,2.33]","(1.5,2.14]"
"Indian/Greater Cormorant","G",3.5,1,"(2.33,4]","[1,1.5]"
"Intermediate Egret","S",3.5,1.125,"(2.33,4]","[1,1.5]"
"Jerdon's Baza","S",3.14285714285714,2.42857142857143,"(2.33,4]","(2.14,3]"
"Jungle Babbler","S",1.22222222222222,1.22222222222222,"[1,1.43]","[1,1.5]"
"Jungle Myna","S",1.33333333333333,1.11111111111111,"[1,1.43]","[1,1.5]"
"Jungle Owlet","S",1,2.375,"[1,1.43]","(2.14,3]"
"Large-billed Crow","S",1,1,"[1,1.43]","[1,1.5]"
"Large-billed Leaf Warbler","S",1.11111111111111,2.77777777777778,"[1,1.43]","(2.14,3]"
"Large Hawk-Cuckoo","S",2.5,2.42857142857143,"(2.33,4]","(2.14,3]"
"Lesser Yellownape","S",1.625,2.11111111111111,"(1.43,2.33]","(1.5,2.14]"
"Lesser/Grey-headed Fish-Eagle","G",1.125,1.14285714285714,"[1,1.43]","[1,1.5]"
"Little Cormorant","S",4,1.125,"(2.33,4]","[1,1.5]"
"Little Spiderhunter","S",2.22222222222222,2.11111111111111,"(1.43,2.33]","(1.5,2.14]"
"Little Swift (Indian House Swift)","S",3,1.42857142857143,"(2.33,4]","[1,1.5]"
"Malabar Barbet (Crimson-throated Barbet)","S",1,1.77777777777778,"[1,1.43]","(1.5,2.14]"
"Malabar Grey Hornbill","S",1,1,"[1,1.43]","[1,1.5]"
"Malabar Parakeet (Blue-winged Parakeet)","S",1,1.33333333333333,"[1,1.43]","[1,1.5]"
"Malabar Trogon","S",2.11111111111111,2.22222222222222,"(1.43,2.33]","(2.14,3]"
"Malabar Whistling-Thrush","S",1.11111111111111,1.55555555555556,"[1,1.43]","(1.5,2.14]"
"Malabar Woodshrike","S",1.66666666666667,1.66666666666667,"(1.43,2.33]","(1.5,2.14]"
"martin/swallow sp.","T",4,1,"(2.33,4]","[1,1.5]"
"Mountain Imperial-Pigeon","S",1.33333333333333,2,"[1,1.43]","(1.5,2.14]"
"Muscicapa sp.","G",2.4,2.2,"(2.33,4]","(2.14,3]"
"myna/starling sp.","G",2,1.5,"(1.43,2.33]","[1,1.5]"
"Nilgiri Flowerpecker","S",2,2,"(1.43,2.33]","(1.5,2.14]"
"Nilgiri Flycatcher","S",2.66666666666667,2.55555555555556,"(2.33,4]","(2.14,3]"
"Nilgiri Thrush","S",4,3,"(2.33,4]","(2.14,3]"
"Nilgiri Wood-Pigeon","S",2.57142857142857,2.875,"(2.33,4]","(2.14,3]"
"Nisaetus sp.","G",1.5,1.8,"(1.43,2.33]","(1.5,2.14]"
"Old World flycatcher/chat sp.","T",2.25,2,"(1.43,2.33]","(1.5,2.14]"
"Old world oriole sp.","G",1.83333333333333,1.4,"(1.43,2.33]","[1,1.5]"
"Orange-headed Thrush","S",1.77777777777778,2.22222222222222,"(1.43,2.33]","(2.14,3]"
"Orange Minivet","S",1.77777777777778,1.11111111111111,"(1.43,2.33]","[1,1.5]"
"Oriental Dollarbird","S",1.88888888888889,1.44444444444444,"(1.43,2.33]","[1,1.5]"
"Oriental Honey-Buzzard (Crested Honey Buzzard)","S",2.625,1.33333333333333,"(2.33,4]","[1,1.5]"
"Oriental Magpie-Robin","S",1.33333333333333,1.22222222222222,"[1,1.43]","[1,1.5]"
"Oriental Scops-Owl","S",1.875,2.875,"(1.43,2.33]","(2.14,3]"
"Oriental White-eye","S",2.44444444444444,1.77777777777778,"(2.33,4]","(1.5,2.14]"
"owl sp.","T",2.6,3,"(2.33,4]","(2.14,3]"
"Palani Laughingthrush (Palani Chilappan)","S",1.5,2.14285714285714,"(1.43,2.33]","(1.5,2.14]"
"Phylloscopus sp.","G",2.33333333333333,3,"(1.43,2.33]","(2.14,3]"
"Pied Bushchat","S",2,1.375,"(1.43,2.33]","[1,1.5]"
"Pied Thrush","S",4,3,"(2.33,4]","(2.14,3]"
"pigeon/dove sp.","T",2.25,2.25,"(1.43,2.33]","(2.14,3]"
"Plum-headed Parakeet","S",1.11111111111111,1.33333333333333,"[1,1.43]","[1,1.5]"
"Puff-throated Babbler","S",1.33333333333333,2.66666666666667,"[1,1.43]","(2.14,3]"
"Purple Sunbird","S",2,1.66666666666667,"(1.43,2.33]","(1.5,2.14]"
"Red-breasted/Taiga Flycatcher","G",3,2.33333333333333,"(2.33,4]","(2.14,3]"
"Red-wattled Lapwing","S",1,1.125,"[1,1.43]","[1,1.5]"
"Red-whiskered Bulbul","S",1.33333333333333,1.22222222222222,"[1,1.43]","[1,1.5]"
"Red Spurfowl","S",1.22222222222222,2,"[1,1.43]","(1.5,2.14]"
"River Tern","S",3.4,1.125,"(2.33,4]","[1,1.5]"
"Rufous Babbler","S",1.22222222222222,1.77777777777778,"[1,1.43]","(1.5,2.14]"
"Rufous Woodpecker","S",1.33333333333333,2.11111111111111,"[1,1.43]","(1.5,2.14]"
"Rusty-tailed Flycatcher","S",2.44444444444444,2.44444444444444,"(2.33,4]","(2.14,3]"
"Shikra","S",1.55555555555556,1.77777777777778,"(1.43,2.33]","(1.5,2.14]"
"Small Minivet","S",2.33333333333333,1.77777777777778,"(1.43,2.33]","(1.5,2.14]"
"Southern Hill Myna","S",1,1.11111111111111,"[1,1.43]","[1,1.5]"
"Speckled Piculet","S",3.33333333333333,2.88888888888889,"(2.33,4]","(2.14,3]"
"Spot-bellied Eagle-Owl","S",2.5,2.55555555555556,"(2.33,4]","(2.14,3]"
"Spotted Dove","S",1.66666666666667,1.44444444444444,"(1.43,2.33]","[1,1.5]"
"Square-tailed Bulbul (Black Bulbul)","S",1.33333333333333,1.11111111111111,"[1,1.43]","[1,1.5]"
"Square-tailed/Fork-tailed Drongo-Cuckoo","S",1.42857142857143,2.14285714285714,"[1,1.43]","(1.5,2.14]"
"Sri Lanka Frogmouth","S",2,2.875,"(1.43,2.33]","(2.14,3]"
"Streak-throated Woodpecker","S",1.22222222222222,1.55555555555556,"[1,1.43]","(1.5,2.14]"
"Sunbird sp.","G",1.25,1.25,"[1,1.43]","[1,1.5]"
"Swift sp.","T",4,1,"(2.33,4]","[1,1.5]"
"Thick-billed Warbler","S",2.28571428571429,2.375,"(1.43,2.33]","(2.14,3]"
"Thrush sp.","T",2.6,2.6,"(2.33,4]","(2.14,3]"
"Tickell's Blue-flycatcher","S",2,2.33333333333333,"(1.43,2.33]","(2.14,3]"
"Tickell's Leaf Warbler","S",3.16666666666667,2.5,"(2.33,4]","(2.14,3]"
"Tit sp.","G",1.6,1.4,"(1.43,2.33]","[1,1.5]"
"Velvet-fronted Nuthatch","S",1.77777777777778,1.44444444444444,"(1.43,2.33]","[1,1.5]"
"Verditer Flycatcher","S",3.375,2,"(2.33,4]","(1.5,2.14]"
"Vernal Hanging-Parrot (Indian Lorikeet)","S",1.33333333333333,1.88888888888889,"[1,1.43]","(1.5,2.14]"
"Warbler sp.","T",3,3,"(2.33,4]","(2.14,3]"
"Waterfowl sp.","B",3.25,1.25,"(2.33,4]","[1,1.5]"
"Western Crowned Warbler","S",3.28571428571429,2.66666666666667,"(2.33,4]","(2.14,3]"
"White-bellied Blue Flycatcher","S",2.66666666666667,2.55555555555556,"(2.33,4]","(2.14,3]"
"White-bellied Sholakili","S",2.25,2.625,"(1.43,2.33]","(2.14,3]"
"White-bellied Treepie","S",1,1.33333333333333,"[1,1.43]","[1,1.5]"
"White-bellied Woodpecker (Great Black Woodpecker)","S",1,1.66666666666667,"[1,1.43]","(1.5,2.14]"
"White-breasted Waterhen","S",1.11111111111111,1.44444444444444,"[1,1.43]","[1,1.5]"
"White-cheeked Barbet (Small Green Barbet)","S",1,1.77777777777778,"[1,1.43]","(1.5,2.14]"
"White-throated Kingfisher","S",1.11111111111111,1.33333333333333,"[1,1.43]","[1,1.5]"
"Woodpecker sp.","T",1.5,1.5,"(1.43,2.33]","[1,1.5]"
"Wynaad Laughingthrush","S",1.55555555555556,2.55555555555556,"(1.43,2.33]","(2.14,3]"
"Yellow-browed Bulbul","S",1.33333333333333,1.44444444444444,"[1,1.43]","[1,1.5]"
